,artist_name,album_name,album_id,track_name,track_id,popularity,release_date,duration_ms,explicit,external_urls,is_local,preview_url,track_number,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Sara Bareilles,Kaleidoscope Heart,627ukPRwYxyBREHxBq0vGJ,King of Anything,3VA8T3rNy5V24AXxNK5u9E,57,2010-09-07,207493,False,https://open.spotify.com/track/3VA8T3rNy5V24AXxNK5u9E,False,https://p.scdn.co/mp3-preview/eab259af10db90d57b059991481048966a38ed74?cid=78e434819ce74de2a9da9bd344483f65,5,acoustic,0.676,0.762,1,-4.172,1,0.0351,0.461,0.0,0.0574,0.81,119.003,audio_features,3VA8T3rNy5V24AXxNK5u9E,spotify:track:3VA8T3rNy5V24AXxNK5u9E,https://api.spotify.com/v1/tracks/3VA8T3rNy5V24AXxNK5u9E,https://api.spotify.com/v1/audio-analysis/3VA8T3rNy5V24AXxNK5u9E,207493,4
1,Five For Fighting,Slice,2POpSYIitmzUOvw7i6lqKT,Chances,1MzlQlMCHU4zSyHjVGbMln,50,2010-06-15,215200,False,https://open.spotify.com/track/1MzlQlMCHU4zSyHjVGbMln,False,https://p.scdn.co/mp3-preview/4b92d9cc632cfe691b08f2ab821f0238ceb88b7a?cid=78e434819ce74de2a9da9bd344483f65,4,acoustic,0.401,0.802,10,-5.646,1,0.0291,0.0236,0.0,0.224,0.326,163.987,audio_features,1MzlQlMCHU4zSyHjVGbMln,spotify:track:1MzlQlMCHU4zSyHjVGbMln,https://api.spotify.com/v1/tracks/1MzlQlMCHU4zSyHjVGbMln,https://api.spotify.com/v1/audio-analysis/1MzlQlMCHU4zSyHjVGbMln,215200,4
2,Andrew Belle,In My Veins (Feat. Erin Mccarley),0Lg8NjaKFHSdsuDM6l58JZ,In My Veins - Feat. Erin Mccarley,7LwGBxB0h0CVmkOZxYKn0g,58,2010-05-21,318908,False,https://open.spotify.com/track/7LwGBxB0h0CVmkOZxYKn0g,False,https://p.scdn.co/mp3-preview/555bdf1e929f5fd99bb36c5787963ffc49c47630?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.548,0.42,0,-7.842,1,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,audio_features,7LwGBxB0h0CVmkOZxYKn0g,spotify:track:7LwGBxB0h0CVmkOZxYKn0g,https://api.spotify.com/v1/tracks/7LwGBxB0h0CVmkOZxYKn0g,https://api.spotify.com/v1/audio-analysis/7LwGBxB0h0CVmkOZxYKn0g,318909,4
3,Beta Radio,Seven Sisters,0GIfSimHMHkmbKiRdrLpAQ,Either Way,3ihp0qYSN89GBnrgF6GhRh,53,2010-01-01,135560,False,https://open.spotify.com/track/3ihp0qYSN89GBnrgF6GhRh,False,https://p.scdn.co/mp3-preview/f528df4660762cee2b2dbd19b455b42190909307?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.651,0.621,8,-7.271,1,0.0359,0.637,0.000122,0.0712,0.914,77.578,audio_features,3ihp0qYSN89GBnrgF6GhRh,spotify:track:3ihp0qYSN89GBnrgF6GhRh,https://api.spotify.com/v1/tracks/3ihp0qYSN89GBnrgF6GhRh,https://api.spotify.com/v1/audio-analysis/3ihp0qYSN89GBnrgF6GhRh,135560,4
4,Mindy Gledhill,Anchor,4qyQES6MtK1e5m06LVcu3a,I Do Adore,6JNEDSev5Tp5VQR04SEBfV,49,2010-08-10,149160,False,https://open.spotify.com/track/6JNEDSev5Tp5VQR04SEBfV,False,https://p.scdn.co/mp3-preview/f8cbced536bece4e4a48bbcc0de87f656baf4aa1?cid=78e434819ce74de2a9da9bd344483f65,10,acoustic,0.69,0.334,9,-5.626,1,0.066,0.947,0.0,0.0895,0.8,74.721,audio_features,6JNEDSev5Tp5VQR04SEBfV,spotify:track:6JNEDSev5Tp5VQR04SEBfV,https://api.spotify.com/v1/tracks/6JNEDSev5Tp5VQR04SEBfV,https://api.spotify.com/v1/audio-analysis/6JNEDSev5Tp5VQR04SEBfV,149160,4
5,Andrew Belle,The Ladder,0oiW40jJHbCnTHIfG1yTaL,The Ladder,3e5UDAmMzMUM95PqjVHC4L,50,2010-02-23,227128,False,https://open.spotify.com/track/3e5UDAmMzMUM95PqjVHC4L,False,https://p.scdn.co/mp3-preview/9962b63930bd432c214f9eb9e048623b56c5b165?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.681,0.608,8,-8.369,1,0.0339,0.62,0.000425,0.136,0.315,123.991,audio_features,3e5UDAmMzMUM95PqjVHC4L,spotify:track:3e5UDAmMzMUM95PqjVHC4L,https://api.spotify.com/v1/tracks/3e5UDAmMzMUM95PqjVHC4L,https://api.spotify.com/v1/audio-analysis/3e5UDAmMzMUM95PqjVHC4L,227129,4
6,Motohiro Hata,Documentary,6RJ8dTBDiLHZb2tSb76Pdt,透明だった世界,3ILmwMefYZoQh5Cf5jeuUQ,56,2010-10-06,232360,False,https://open.spotify.com/track/3ILmwMefYZoQh5Cf5jeuUQ,False,https://p.scdn.co/mp3-preview/826c9a18d8b36a208041c2ba6b6ef0dbdc69af6b?cid=78e434819ce74de2a9da9bd344483f65,7,acoustic,0.373,0.914,0,-4.185,1,0.0565,0.076,0.0,0.669,0.56,168.21,audio_features,3ILmwMefYZoQh5Cf5jeuUQ,spotify:track:3ILmwMefYZoQh5Cf5jeuUQ,https://api.spotify.com/v1/tracks/3ILmwMefYZoQh5Cf5jeuUQ,https://api.spotify.com/v1/audio-analysis/3ILmwMefYZoQh5Cf5jeuUQ,232360,4
7,Ray LaMontagne,God Willin' & The Creek Don't Rise,7uDlfwN1xFTRvTffXYPHM9,Beg Steal or Borrow (with The Pariah Dogs),7fMYBrlKl9mkcMTUGT4j6l,46,2010-08-13,272666,False,https://open.spotify.com/track/7fMYBrlKl9mkcMTUGT4j6l,False,https://p.scdn.co/mp3-preview/8460e2bb43413912e24fa646f8b8a6179120e6e5?cid=78e434819ce74de2a9da9bd344483f65,4,acoustic,0.472,0.55,6,-8.517,1,0.0281,0.462,0.000561,0.172,0.395,148.097,audio_features,7fMYBrlKl9mkcMTUGT4j6l,spotify:track:7fMYBrlKl9mkcMTUGT4j6l,https://api.spotify.com/v1/tracks/7fMYBrlKl9mkcMTUGT4j6l,https://api.spotify.com/v1/audio-analysis/7fMYBrlKl9mkcMTUGT4j6l,272667,4
8,Ray LaMontagne,God Willin' & The Creek Don't Rise,7uDlfwN1xFTRvTffXYPHM9,For the Summer (with The Pariah Dogs),09ZSm0xj0pknpfywcbBNkP,46,2010-08-13,231320,False,https://open.spotify.com/track/09ZSm0xj0pknpfywcbBNkP,False,https://p.scdn.co/mp3-preview/291f30c46dcfa208ce1834e417910619d5fdbe60?cid=78e434819ce74de2a9da9bd344483f65,8,acoustic,0.413,0.596,5,-7.606,1,0.0284,0.42,0.000218,0.146,0.347,151.009,audio_features,09ZSm0xj0pknpfywcbBNkP,spotify:track:09ZSm0xj0pknpfywcbBNkP,https://api.spotify.com/v1/tracks/09ZSm0xj0pknpfywcbBNkP,https://api.spotify.com/v1/audio-analysis/09ZSm0xj0pknpfywcbBNkP,231320,4
9,Ben Rector,Into the Morning,0s5Z4iXYB1MI6ujRrjXAC6,When A Heart Breaks,4xYUnLUwwWMndNlCQi4CqX,44,2010-02-16,256906,False,https://open.spotify.com/track/4xYUnLUwwWMndNlCQi4CqX,False,https://p.scdn.co/mp3-preview/d15ec7c36dd2043db09517415501a4c8ad4d7948?cid=78e434819ce74de2a9da9bd344483f65,3,acoustic,0.649,0.4,11,-10.917,1,0.0354,0.142,0.000208,0.112,0.185,141.984,audio_features,4xYUnLUwwWMndNlCQi4CqX,spotify:track:4xYUnLUwwWMndNlCQi4CqX,https://api.spotify.com/v1/tracks/4xYUnLUwwWMndNlCQi4CqX,https://api.spotify.com/v1/audio-analysis/4xYUnLUwwWMndNlCQi4CqX,256907,4
