,artist_name,album_name,album_id,track_name,track_id,popularity,release_date,duration_ms,explicit,external_urls,is_local,preview_url,track_number,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Trevor Hall,Chapter Of The Forest,0Tt5WHP4RdkQemDgD1QItP,Green Mountain State,0c7iF5fSBYxCuwsAv2z4iI,56,2014-06-17,274632,False,https://open.spotify.com/track/0c7iF5fSBYxCuwsAv2z4iI,False,https://p.scdn.co/mp3-preview/5a059d4f28308e463602a009b7772621301d74a6?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.693,0.367,3,-11.66,1,0.0323,0.351,2.9e-05,0.111,0.286,129.879,audio_features,0c7iF5fSBYxCuwsAv2z4iI,spotify:track:0c7iF5fSBYxCuwsAv2z4iI,https://api.spotify.com/v1/tracks/0c7iF5fSBYxCuwsAv2z4iI,https://api.spotify.com/v1/audio-analysis/0c7iF5fSBYxCuwsAv2z4iI,274632,4
1,NEEDTOBREATHE,Rivers in the Wasteland,52e12cyeu7IY7JGSoUArHw,Multiplied,4zgO1SgXOeFmr6Hno9DLs4,52,2014-04-17,275560,False,https://open.spotify.com/track/4zgO1SgXOeFmr6Hno9DLs4,False,https://p.scdn.co/mp3-preview/4d58bc550e2e493c91c6487ccb08d9e74a910e92?cid=78e434819ce74de2a9da9bd344483f65,9,acoustic,0.593,0.816,7,-6.461,1,0.0421,0.0048,0.00121,0.0939,0.378,115.029,audio_features,4zgO1SgXOeFmr6Hno9DLs4,spotify:track:4zgO1SgXOeFmr6Hno9DLs4,https://api.spotify.com/v1/tracks/4zgO1SgXOeFmr6Hno9DLs4,https://api.spotify.com/v1/audio-analysis/4zgO1SgXOeFmr6Hno9DLs4,275560,4
2,Eric Hutchinson,Pure Fiction,4Oz26gDe9j4idBz4Z7CPPN,Tell The World,0ifc4mq2mVNefgQFmtXQpt,53,2014-04-08,161328,False,https://open.spotify.com/track/0ifc4mq2mVNefgQFmtXQpt,False,https://p.scdn.co/mp3-preview/62dcbf53118ccde9e25997c890e00882f8e8114f?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.669,0.854,4,-5.899,1,0.0431,0.0653,0.0,0.288,0.706,120.035,audio_features,0ifc4mq2mVNefgQFmtXQpt,spotify:track:0ifc4mq2mVNefgQFmtXQpt,https://api.spotify.com/v1/tracks/0ifc4mq2mVNefgQFmtXQpt,https://api.spotify.com/v1/audio-analysis/0ifc4mq2mVNefgQFmtXQpt,161328,4
3,Ingrid Michaelson,Lights Out,20vMfB4zgelkULugladUD3,Girls Chase Boys,3tInTDUq8wdIMw5ftohmqJ,51,2014-04-15,221413,False,https://open.spotify.com/track/3tInTDUq8wdIMw5ftohmqJ,False,https://p.scdn.co/mp3-preview/caf06d0bf5354568464def71b57448a8c2056cb0?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.518,0.828,8,-5.725,1,0.04,0.03,1.33e-05,0.0456,0.69,84.835,audio_features,3tInTDUq8wdIMw5ftohmqJ,spotify:track:3tInTDUq8wdIMw5ftohmqJ,https://api.spotify.com/v1/tracks/3tInTDUq8wdIMw5ftohmqJ,https://api.spotify.com/v1/audio-analysis/3tInTDUq8wdIMw5ftohmqJ,221413,4
4,Andrew Belle,Black Bear (Hushed),2Ed8P51K15BLgBWAA2ZLzf,Pieces (Hushed),3us8sod4dLbM9FiMiPiEY8,57,2014-10-07,198626,False,https://open.spotify.com/track/3us8sod4dLbM9FiMiPiEY8,False,https://p.scdn.co/mp3-preview/e14a37335f1f33d94515d057062d4ea35f31a5d5?cid=78e434819ce74de2a9da9bd344483f65,4,acoustic,0.52,0.279,5,-10.739,0,0.0547,0.894,0.000105,0.103,0.0951,69.642,audio_features,3us8sod4dLbM9FiMiPiEY8,spotify:track:3us8sod4dLbM9FiMiPiEY8,https://api.spotify.com/v1/tracks/3us8sod4dLbM9FiMiPiEY8,https://api.spotify.com/v1/audio-analysis/3us8sod4dLbM9FiMiPiEY8,198627,4
5,The National Parks,As We Ran,2MeNqK7a04QJIiUgrcX97y,As We Ran,5ITmuvjtUUdxVQCCsaKBDx,52,2014-01-28,200321,False,https://open.spotify.com/track/5ITmuvjtUUdxVQCCsaKBDx,False,https://p.scdn.co/mp3-preview/b635d1e1bf4842921e26b20bfb7070d778d1f869?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.431,0.588,9,-6.855,1,0.0348,0.0169,0.00689,0.368,0.183,143.975,audio_features,5ITmuvjtUUdxVQCCsaKBDx,spotify:track:5ITmuvjtUUdxVQCCsaKBDx,https://api.spotify.com/v1/tracks/5ITmuvjtUUdxVQCCsaKBDx,https://api.spotify.com/v1/audio-analysis/5ITmuvjtUUdxVQCCsaKBDx,200322,4
6,William Fitzsimmons,Acoustic Sessions,7ISQ9CXK8dZBLzZgfQp8si,Fortune - Acoustic,2M1bgJpUPjfKhHLIIfzGtX,50,2014-08-05,228013,False,https://open.spotify.com/track/2M1bgJpUPjfKhHLIIfzGtX,False,https://p.scdn.co/mp3-preview/1ab78f99ba64d5516fc5725bba04c0a97d1da352?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.529,0.0546,1,-23.684,1,0.0364,0.924,0.0428,0.108,0.517,78.451,audio_features,2M1bgJpUPjfKhHLIIfzGtX,spotify:track:2M1bgJpUPjfKhHLIIfzGtX,https://api.spotify.com/v1/tracks/2M1bgJpUPjfKhHLIIfzGtX,https://api.spotify.com/v1/audio-analysis/2M1bgJpUPjfKhHLIIfzGtX,228013,4
7,The Civil Wars,Between the Bars,64Z8bWSUBB1Vhox2K5EdBe,Billie Jean,4YKhIH7BhFErLoV9dgHupm,46,2014-02-07,260053,False,https://open.spotify.com/track/4YKhIH7BhFErLoV9dgHupm,False,https://p.scdn.co/mp3-preview/696553d7e240e0a8c74e1686935c7bdc8cbf0b29?cid=78e434819ce74de2a9da9bd344483f65,3,acoustic,0.58,0.203,9,-8.524,0,0.0676,0.829,0.0,0.108,0.534,128.942,audio_features,4YKhIH7BhFErLoV9dgHupm,spotify:track:4YKhIH7BhFErLoV9dgHupm,https://api.spotify.com/v1/tracks/4YKhIH7BhFErLoV9dgHupm,https://api.spotify.com/v1/audio-analysis/4YKhIH7BhFErLoV9dgHupm,260053,4
8,Pat The Bunny,"Probably Nothing, Possibly Everything",1mdup5fgvCJcq2eZzuSUzA,I'm not a good person,27wOKBP8KERkFP2sqqHloH,46,2014-12-19,174406,True,https://open.spotify.com/track/27wOKBP8KERkFP2sqqHloH,False,https://p.scdn.co/mp3-preview/b48814be3451b26af1be3d33a5457a39b44f79e8?cid=78e434819ce74de2a9da9bd344483f65,3,acoustic,0.636,0.54,9,-6.632,1,0.0284,0.77,9.36e-06,0.343,0.584,132.779,audio_features,27wOKBP8KERkFP2sqqHloH,spotify:track:27wOKBP8KERkFP2sqqHloH,https://api.spotify.com/v1/tracks/27wOKBP8KERkFP2sqqHloH,https://api.spotify.com/v1/audio-analysis/27wOKBP8KERkFP2sqqHloH,174407,4
9,Jason Mraz,YES! (Commentary),2pkE09f0DykOk472XemaTs,Love Someone,1qvToOLpOdxoxmEyebs0Wi,42,2014-07-13,257173,False,https://open.spotify.com/track/1qvToOLpOdxoxmEyebs0Wi,False,https://p.scdn.co/mp3-preview/22da3d6c819a46254d5077a69544c62c6b540f1e?cid=78e434819ce74de2a9da9bd344483f65,4,acoustic,0.582,0.347,7,-14.769,1,0.0305,0.317,0.00678,0.111,0.0797,97.957,audio_features,1qvToOLpOdxoxmEyebs0Wi,spotify:track:1qvToOLpOdxoxmEyebs0Wi,https://api.spotify.com/v1/tracks/1qvToOLpOdxoxmEyebs0Wi,https://api.spotify.com/v1/audio-analysis/1qvToOLpOdxoxmEyebs0Wi,257173,4
10,Eric Hutchinson,Pure Fiction,4Oz26gDe9j4idBz4Z7CPPN,A Little More,3AH12fVi34vJVqriMpM6Bo,46,2014-04-08,196600,False,https://open.spotify.com/track/3AH12fVi34vJVqriMpM6Bo,False,https://p.scdn.co/mp3-preview/31d0aa5e1955ed92ed0b18ede2348fb6af938f90?cid=78e434819ce74de2a9da9bd344483f65,2,acoustic,0.643,0.741,2,-5.084,1,0.0404,0.013,2.34e-05,0.0711,0.935,80.043,audio_features,3AH12fVi34vJVqriMpM6Bo,spotify:track:3AH12fVi34vJVqriMpM6Bo,https://api.spotify.com/v1/tracks/3AH12fVi34vJVqriMpM6Bo,https://api.spotify.com/v1/audio-analysis/3AH12fVi34vJVqriMpM6Bo,196601,4
11,Susie Suh,Here with Me,4pdMeK0Lb79nwLFGqholxm,Here with Me,6IF2P93LkyW4GqDQu1yS7H,50,2014-05-19,238971,False,https://open.spotify.com/track/6IF2P93LkyW4GqDQu1yS7H,False,https://p.scdn.co/mp3-preview/8784fe6fc83931cec19686018c7d370b3139571e?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.582,0.375,1,-13.277,0,0.0329,0.702,0.0631,0.136,0.106,129.909,audio_features,6IF2P93LkyW4GqDQu1yS7H,spotify:track:6IF2P93LkyW4GqDQu1yS7H,https://api.spotify.com/v1/tracks/6IF2P93LkyW4GqDQu1yS7H,https://api.spotify.com/v1/audio-analysis/6IF2P93LkyW4GqDQu1yS7H,238971,4
12,Johnnyswim,Diamonds,2y2pzedHjln9MbTHCq99qP,Take The World,1XU8WnwGs6oqpt1qicvw34,44,2014-04-29,263372,False,https://open.spotify.com/track/1XU8WnwGs6oqpt1qicvw34,False,https://p.scdn.co/mp3-preview/ce5349abed0d5b300d12773325417c49c8760c6e?cid=78e434819ce74de2a9da9bd344483f65,7,acoustic,0.325,0.362,5,-10.011,1,0.061,0.758,0.0,0.118,0.158,85.885,audio_features,1XU8WnwGs6oqpt1qicvw34,spotify:track:1XU8WnwGs6oqpt1qicvw34,https://api.spotify.com/v1/tracks/1XU8WnwGs6oqpt1qicvw34,https://api.spotify.com/v1/audio-analysis/1XU8WnwGs6oqpt1qicvw34,263372,4
13,Lori McKenna,Numbered Doors,0nCbtAU3ojDJz83Cx0iD8y,The Time I've Wasted,1JtvwshkJMxfm4oRhJp93C,49,2014-09-23,213249,False,https://open.spotify.com/track/1JtvwshkJMxfm4oRhJp93C,False,https://p.scdn.co/mp3-preview/6d1d681a91af37a6b0d09b6d33d22398a53dbbef?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.473,0.25,5,-11.263,1,0.0304,0.796,8.83e-05,0.101,0.261,145.027,audio_features,1JtvwshkJMxfm4oRhJp93C,spotify:track:1JtvwshkJMxfm4oRhJp93C,https://api.spotify.com/v1/tracks/1JtvwshkJMxfm4oRhJp93C,https://api.spotify.com/v1/audio-analysis/1JtvwshkJMxfm4oRhJp93C,213249,4
14,Front Porch Step,Whole Again,794yoUTC3oLGCaTVVvev39,A Lovely Mess,5w8qK8TjvwsN8nSChFK69Y,41,2014-12-02,237445,False,https://open.spotify.com/track/5w8qK8TjvwsN8nSChFK69Y,False,https://p.scdn.co/mp3-preview/ee397d723b3f165d27498b886ac0e9dcfff423f6?cid=78e434819ce74de2a9da9bd344483f65,1,acoustic,0.636,0.53,6,-4.971,1,0.0288,0.602,0.0,0.0971,0.469,111.874,audio_features,5w8qK8TjvwsN8nSChFK69Y,spotify:track:5w8qK8TjvwsN8nSChFK69Y,https://api.spotify.com/v1/tracks/5w8qK8TjvwsN8nSChFK69Y,https://api.spotify.com/v1/audio-analysis/5w8qK8TjvwsN8nSChFK69Y,237446,4
